Type,Name,Email,Phone,Location,Newsletter,Status
Student,Arturo,jsj@nkjd.com,293494949,Vienna - TaborStrabe,Yes,Inactive
Student,Carlos Silva,carlos.silva@example.com,436501998877,Vienna - TaborStrabe,Yes,Inactive
Student,Diego Pais,loadtest.student0500@example.com,833652147,Vienna - TaborStrabe,Yes,Active
Student,Fernanda,student1@demo.at,None,RENZO GRACIE NUSSDORFER,Yes,Active
Student,fio,student4@demo.at,None,Vienna - TaborStrabe,Yes,Active
Student,juancho,loadtest.student0481@example.com,None,Vienna - TaborStrabe,Yes,Active
Student,Lego,lego@moco.com,9888329039,Vienna - TaborStrabe,Yes,Active
Student,Lucas Pereira,lucas.pereira@example.com,436601112233,RENZO GRACIE NUSSDORFER,No,Active
Student,Lucas Pereira,lucas.pereira3@example.com,436601112233,Vienna - TaborStrabe,Yes,Active
Student,Lucas Pereira,lucas.pereira2@example.com,436601112233,Vienna - TaborStrabe,Yes,Active
Student,Martin Huber,martin.huber@example.com,+436991234567,Vienna - TaborStrabe,Yes,Inactive
Student,Pepe,pep@gmail.com,875624,Vienna - TaborStrabe,Yes,Inactive
Student,Peter,student19@demo.at,None,RENZO GRACIE NUSSDORFER,Yes,Active
Student,Student 10,student10@demo.at,None,Vienna - TaborStrabe,Yes,Inactive
Student,Student 11,pepe@demo.at,555222215,Vienna -Museum Quarter,Yes,Inactive
Student,Student 12,student12@demo.at,None,Vienna - TaborStrabe,Yes,Inactive
Student,Student 13,student13@demo.at,,Vienna - TaborStrabe,Yes,Active
Student,Student 14,student14@demo.at,None,Vienna - TaborStrabe,Yes,Inactive
Student,Student 15,cxd5@demo.at,None,RENZO GRACIE NUSSDORFER,Yes,Active
Student,Student 16,student16@demo.at,,Vienna - TaborStrabe,Yes,Inactive
Student,Student 17,student17@demo.at,,Vienna - TaborStrabe,Yes,Inactive
Student,Student 18,student18@demo.at,None,RENZO GRACIE NUSSDORFER,No,Active
Student,Student 2,student2@demo.at,None,Vienna - TaborStrabe,Yes,Inactive
Student,Student 20,student20@demo.at,None,RENZO GRACIE NUSSDORFER,Yes,Active
Student,Student 3,student3@demo.at,,Vienna - TaborStrabe,Yes,Inactive
Student,Student 4,student48@demo.at,None,Vienna - TaborStrabe,Yes,Active
Student,Student 5,student5@demo.at,,Vienna - TaborStrabe,Yes,Active
Student,Student 6,student6@demo.at,None,Vienna - TaborStrabe,Yes,Inactive
Student,Student 7,student7@demo.at,,Vienna - TaborStrabe,Yes,Inactive
Student,Student 8,student8@demo.at,,Vienna - TaborStrabe,Yes,Inactive
Student,Student 9,student9@demo.at,,Vienna - TaborStrabe,Yes,Inactive
Student,Test Student 0001,loadtest.student0001@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0002,loadtest.student0002@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0003,loadtest.student0003@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0004,loadtest.student0004@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0005,loadtest.student0005@example.com,,Vienna - TaborStrabe,Yes,Inactive
Student,Test Student 0006,loadtest.student0006@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0007,loadtest.student0007@example.com,None,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0008,loadtest.student0008@example.com,None,Vienna - TaborStrabe,Yes,Inactive
Student,Test Student 0009,loadtest.student0009@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0010,loadtest.student0010@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0011,loadtest.student0011@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0012,loadtest.student0012@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0013,loadtest.student0013@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0014,loadtest.student0014@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0015,loadtest.student0015@example.com,None,RENZO GRACIE NUSSDORFER,Yes,Active
Student,Test Student 0016,loadtest.student0016@example.com,None,RENZO GRACIE NUSSDORFER,Yes,Active
Student,Test Student 0017,loadtest.student0017@example.com,None,RENZO GRACIE NUSSDORFER,Yes,Active
Student,Test Student 0018,loadtest.student0018@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0019,loadtest.student0019@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0020,loadtest.student0020@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0021,loadtest.student0021@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0022,loadtest.student0022@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0023,loadtest.student0023@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0024,loadtest.student0024@example.com,None,,Yes,Active
Student,Test Student 0025,loadtest.student0025@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0026,loadtest.student0026@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0027,loadtest.student0027@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0028,loadtest.student0028@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0029,loadtest.student0029@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0030,loadtest.student0030@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0031,loadtest.student0031@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0032,loadtest.student0032@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0033,loadtest.student0033@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0034,loadtest.student0034@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0035,loadtest.student0035@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0036,loadtest.student0036@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0037,loadtest.student0037@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0038,loadtest.student0038@example.com,,Vienna - TaborStrabe,Yes,Active
Student,Test Student 0039,loadtest.student0039@example.com,,Vienna - TaborStrabe,Yes,Active
